layer,feature,label,f1_score,detection_f1,fuzz_f1,f1_good,detection_f1_good,fuzz_good
19,0,Capitalized significant financial terms,0.1818,0.1818,,False,False,False
19,1,Company names with financial actions,0.3607,0.3607,,False,False,False
19,2,Financial declarations and actions,0.0,0.0,,False,False,False
19,3,Uppercase letters within words,0.3333,0.3333,,False,False,False
19,4,Financial entities and activities,0.0,0.0,,False,False,False
19,5,Year prefixes in financial reports,0.0,0.0,,False,False,False
19,6,Company names in financial contexts,0.0,0.0,,False,False,False
19,7,Company names in financial contexts,0.0,0.0,,False,False,False
19,8,Corporate titles and financial terms,0.0,0.0,,False,False,False
19,9,Company names in financial contexts,0.0,0.0,,False,False,False
19,10,Capitalized company ticker symbols,0.0,0.0,,False,False,False
19,11,Financial metrics and indicators,0.0,0.0,,False,False,False
19,12,Uppercase letters in company names,0.0,0.0,,False,False,False
19,13,Stock-related financial terms,0.0,0.0,,False,False,False
19,14,Financial terms in business news,0.0,0.0,,False,False,False
19,15,Financial performance indicators in business,0.2143,0.2143,,False,False,False
19,16,Partial word activations in finance,0.2759,0.2759,,False,False,False
19,17,Stock ticker symbols in financial news,0.0,0.0,,False,False,False
19,18,Financial stock recommendations and movements,0.1132,0.1132,,False,False,False
19,19,Financial terms in market contexts,0.0,0.0,,False,False,False
19,20,Punctuation before financial terms,0.2143,0.2143,,False,False,False
19,21,Financial abbreviations and symbols,0.4375,0.4375,,False,False,False
19,22,Stock ticker symbols in headlines,0.2456,0.2456,,False,False,False
19,23,Suffixes and prefixes in finance,0.0,0.0,,False,False,False
19,24,Proper nouns in financial contexts,0.0,0.0,,False,False,False
19,25,Financial performance metrics and actions,0.1132,0.1132,,False,False,False
19,26,Financial symbols in market reports,0.0,0.0,,False,False,False
19,27,"\""The\"" denoting specific financial entities",0.0,0.0,,False,False,False
19,28,Company names in financial contexts,0.0,0.0,,False,False,False
19,29,Punctuation in financial contexts,0.0,0.0,,False,False,False
19,30,Financial terms in business contexts,0.0,0.0,,False,False,False
19,31,Financial terms in business contexts,0.0,0.0,,False,False,False
19,32,Company names in financial contexts,0.3051,0.3051,,False,False,False
19,33,Capitalized words in financial contexts,0.0,0.0,,False,False,False
19,34,Company names with financial punctuation,0.2759,0.2759,,False,False,False
19,35,Incomplete HTML tags in financial articles,0.0,0.0,,False,False,False
19,36,Punctuation in financial terms,0.0,0.0,,False,False,False
19,37,Company names in financial news,0.3607,0.3607,,False,False,False
19,38,Capitalized abbreviations in financial contexts,0.3333,0.3333,,False,False,False
19,39,Double brackets in financial titles,0.4615,0.4615,,False,False,False
19,40,Single-digit financial metrics,0.0,0.0,,False,False,False
19,41,Capitalized proper nouns in finance,0.0,0.0,,False,False,False
19,42,Company names in financial contexts,0.0,0.0,,False,False,False
19,43,Financial company names and symbols,0.2759,0.2759,,False,False,False
19,44,Company names in financial contexts,0.4615,0.4615,,False,False,False
19,45,Financial terms in market contexts,0.0,0.0,,False,False,False
19,46,Company names and financial terms,0.0,0.0,,False,False,False
19,47,Company names and stock symbols,0.0,0.0,,False,False,False
19,48,Financial headline punctuation markers,0.0,0.0,,False,False,False
19,49,Capitalized introductory terms in finance,0.4375,0.4375,,False,False,False
19,50,Financial acronyms and abbreviations,0.0,0.0,,False,False,False
19,51,"Preposition \""in\"" with financial contexts",0.0,0.0,,False,False,False
19,52,Financial terms in stock contexts,0.0,0.0,,False,False,False
19,53,Capitalized company names in finance,0.0,0.0,,False,False,False
19,54,Stock ticker symbols in financial texts,0.0,0.0,,False,False,False
19,55,Company names in financial contexts,0.2456,0.2456,,False,False,False
19,56,Company names in financial contexts,0.1818,0.1818,,False,False,False
19,57,End-of-text token marking segments,0.0,0.0,,False,False,False
19,58,Capitalized words in financial contexts,0.0,0.0,,False,False,False
19,59,Financial terms in market news,0.0,0.0,,False,False,False
19,60,"Financial advice questions marked \""Should\",0.0,0.0,,False,False,False
19,61,Capitalized words in financial contexts,0.0,0.0,,False,False,False
19,62,Financial terms in earnings contexts,0.1818,0.1818,,False,False,False
19,63,Punctuation marks in financial headlines,0.0,0.0,,False,False,False
19,64,Capitalized prepositions in financial contexts,0.0,0.0,,False,False,False
19,65,Company names in financial contexts,0.0,0.0,,False,False,False
19,66,Punctuation in financial headlines,0.1481,0.1481,,False,False,False
19,67,End-of-text token in financial articles,0.0,0.0,,False,False,False
19,68,Adjective/adverb suffixes indicating intensity,0.0,0.0,,False,False,False
19,69,Financial years and figures,0.0,0.0,,False,False,False
19,70,Financial acronyms and abbreviations,0.0,0.0,,False,False,False
19,71,Capitalized words in financial contexts,0.0,0.0,,False,False,False
19,72,Capitalized financial terms in headlines,0.0,0.0,,False,False,False
19,73,"Colons separating titles, content",0.0,0.0,,False,False,False
19,74,Company names in financial contexts,0.0,0.0,,False,False,False
19,75,Comma-separated financial stock items,0.0,0.0,,False,False,False
19,76,Financial terms in news headlines,0.0,0.0,,False,False,False
19,77,Financial terms in market reports,0.0,0.0,,False,False,False
19,78,Financial terms in business reports,0.0,0.0,,False,False,False
19,79,Financial company names and abbreviations,0.4375,0.4375,,False,False,False
19,80,Punctuation and short delimiters,0.0,0.0,,False,False,False
19,81,Truncated company names and financial terms,0.0,0.0,,False,False,False
19,82,Company names in financial contexts,0.4127,0.4127,,False,False,False
19,83,Partial company names in finance,0.0,0.0,,False,False,False
19,84,Financial performance indicators in markets,0.0,0.0,,False,False,False
19,85,Company names in financial contexts,0.1818,0.1818,,False,False,False
19,86,Financial term segments and symbols,0.0,0.0,,False,False,False
19,87,Financial terms in news headlines,0.0,0.0,,False,False,False
19,88,Capitalized proper nouns in titles,0.0,0.0,,False,False,False
19,89,Financial symbols in stock reports,0.0,0.0,,False,False,False
19,90,End-of-text markers in financial news,0.0,0.0,,False,False,False
19,91,Financial terms in stock market news,0.3607,0.3607,,False,False,False
19,92,Financial metrics and corporate actions,0.3333,0.3333,,False,False,False
19,93,Numerical values in financial contexts,0.2143,0.2143,,False,False,False
19,94,Capitalized abbreviations in financial contexts,0.3333,0.3333,,False,False,False
