feature_id,label,label_score,positive_sentences,negative_sentences
534,Analyst Sentiment on Financial Forecasts,0.7999996570553713,"evaluating management's ability to forecast longer - term financial|management's ability to forecast longer - term financials|' s ability to forecast longer - term financials.|s ability to forecast longer - term financials. should|was also “ concerned at the margin of the level of|also “ concerned at the margin of the level of enthusiasm|“ concerned at the margin of the level of enthusiasm amongst|concerned at the margin of the level of enthusiasm amongst some|##otley fool stock advisoranalyst team just identified what|##otley fool stock advisoranalyst team just identified what|covers the following details : housing market challenges intensify|the following details : housing market challenges intensify and|##otley fool stock advisoranalyst team just identified what|##ppoint markets ( and the fed ) on wall street|##oint markets ( and the fed ) on wall street,|markets ( and the fed ) on wall street, stocks|( and the fed ) on wall street, stocks are|##4 : a strong jobs market leads to higher rates '|: a strong jobs market leads to higher rates ',|a strong jobs market leads to higher rates ', published","disappointing earnings report fromasml holdings ( nasdaq|broad - based sell - off in artificial intelligence ( ai|artificial intelligence ( ai ) stocks. arm was the worst|shares finished the day down 12 %, which was even|down 12 %, which was even worse than asml|' s 7. 1 % drop. arm shares get|arm shares get spookedartificial intelligence stocks|spookedartificial intelligence stockshave soared|months, and arm has been among the winners. the|, and arm has been among the winners. the chip|been among the winners. the chip designer, known for|. the chip designer, known for highly efficient cpu architecture|accelerate from the breakout technology. however, asml '|. however, asml's update this morning threw|isn't putting up the kind of eye - popping|t putting up the kind of eye - popping revenue growth|putting up the kind of eye - popping revenue growth as|popping revenue growth as its collaboratornvidia. still|##nvidia. still, the company figures to have|ll get an update from arm next month when its fiscal"
945,"Post-earnings reactions, specific reference: Microsoft",0.9030604238232116,"bush sees a bleak outlook without the model 2. wed|sees a bleak outlook without the model 2. wedbush|caterpillar posted an adjusted profit of $ 5.|the underwriters set the price. pam ’ s|underwriters set the price. pam ’ s fortunes|##writers set the price. pam ’ s fortunes have|##s set the price. pam ’ s fortunes have long|. in other words, this earnings surprise could be the|in other words, this earnings surprise could be the start|other words, this earnings surprise could be the start of|. in other words, the market afforded microsoft a valuation|in other words, the market afforded microsoft a valuation of|other words, the market afforded microsoft a valuation of 10|##ability, fairly priced stock, and respectable growth, ui|, fairly priced stock, and respectable growth, uipath|fairly priced stock, and respectable growth, uipath makes|priced stock, and respectable growth, uipath makes for|stock, and respectable growth, uipath makes for a|, and respectable growth, uipath makes for a great|asml proposes declaring a total dividend of €6","ofarm holdings ( nasdaq : arm ) were|and its guidance called for a continued decline in sales in|its guidance called for a continued decline in sales in the|whennvidiamade this list on april 15,|regular updates from analysts, and two new stock picks each|##the return of s & p 500 since 2002 *.|traders try to shrug off powell's hawkish commentary|try to shrug off powell's hawkish commentary '|to shrug off powell's hawkish commentary ',|' s hawkish commentary ', published on 17 april|, april 11. carolyn kaster / apus stocks|move past jerome powell's hawkish commentary on tuesday|s hawkish commentary on tuesday. the fed boss said|hawkish commentary on tuesday. the fed boss said progress|on inflation appeared to be stuck, indicating rates will remain|appeared to be stuck, indicating rates will remain high.|remain high. major averages ticked higher at the open as|. major averages ticked higher at the open as traders looked|ticked higher at the open as traders looked to break a|open as traders looked to break a three - day losing"
156,"Credit ratings, specific reference: S&P Global",0.786485635995819,"which they actively sought out a rating from s & p|they actively sought out a rating from s & p global|actively sought out a rating from s & p global.|sought out a rating from s & p global. issue|q1 profit, stock slidesoriginally appeared on|##1 profit, stock slidesoriginally appeared onben|. commore top reads from oilprice. com|commore top reads from oilprice. com :|##more top reads from oilprice. com : oil|top reads from oilprice. com : oil prices|oilprice. com : oil prices settle near $|##price. com : oil prices settle near $ 90|##ice. com : oil prices settle near $ 90 despite|. com : oil prices settle near $ 90 despite rising|! check out thecme fed watchtool below|check out thecme fed watchtool below for|out thecme fed watchtool below for the|##josh schafermore earnings movers after the|##h schafermore earnings movers after the bell|schafermore earnings movers after the bell on","shares ofarm holdings ( nasdaq : arm )|##arm holdings ( nasdaq : arm ) were taking|##daq : arm ) were taking it on the chin|) were taking it on the chin today after a disappointing|taking it on the chin today after a disappointing earnings report|fromasml holdings ( nasdaq : asml|holdings ( nasdaq : asml ) led to|a broad - based sell - off in artificial intelligence (|broad - based sell - off in artificial intelligence ( ai|( ai ) stocks. arm was the worst performer of|stocks. arm was the worst performer of the group as|than asml's 7. 1 % drop.|this morning threw cold water on the sector and led to|of the most expensive in the sector, arm got hit|the sector, arm got hit hard on the news.|getty images. asml reported a sharp decline in|the second quarter. while that news was roughly what wall|second quarter. while that news was roughly what wall street|news was roughly what wall street expected, both the first|growth to improve in the second half of the year and"
381,"Market performance updates, specific reference: Dow",0.7781348468067089,continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : dow|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : dow|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : dow|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : dow|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : stocks|continued from the article titled'stock market today : dow|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : tech|continued from the article titled'stock market today : dow,"arm holdings stock took a dive today ', published on|dive today ', published on 17 april, 2024|17 april, 2024. it covers the following details|##4. it covers the following details : shares ofarm|##q : arm ) were taking it on the chin today|nasdaq : asml ) led to a broad|a broad - based sell - off in artificial intelligence (|off in artificial intelligence ( ai ) stocks. arm was|ai ) stocks. arm was the worst performer of the|%, which was even worse than asml's|. arm shares get spookedartificial intelligence|arm shares get spookedartificial intelligence stocks|get spookedartificial intelligence stockshave|##have soared in recent months, and arm has been|, asml's update this morning threw cold water|morning threw cold water on the sector and led to a|to a broad sell - off in ai stocks. as|what wall street expected, both the first - quarter and|revenue growth to improve in the second half of the year|in the second half of the year and accelerate in 202"
2773,"Inflation targeting and Fed commentary, specific reference: Fed",0.7541347042746764,"##ns buyers of trump ’ s stock to unwavering|buyers of trump ’ s stock to unwavering sports|of trump ’ s stock to unwavering sports fans|trump ’ s stock to unwavering sports fans.|year when it comes to bringing inflation back down to the|when it comes to bringing inflation back down to the fed|it comes to bringing inflation back down to the fed '|comes to bringing inflation back down to the fed's|bringing inflation back down to the fed's 2 %|inflation back down to the fed's 2 % target|back down to the fed's 2 % target.|down to the fed's 2 % target. powell|s intended disposals to the market in late october,|intended disposals to the market in late october, saying|disposals to the market in late october, saying they|##s to the market in late october, saying they were|it to a total addressable market of at least 10|to a total addressable market of at least 10,|longer than expected "" to get inflation down to the fed|than expected "" to get inflation down to the fed '","as expected. that, in turn, could be a|month when its fiscal fourth - quarter earnings report comes out|one of them. the 10 stocks that made the cut|the 10 stocks that made the cut could produce monster returns|10 stocks that made the cut could produce monster returns in|produce monster returns in the coming years. consider whenn|. the motley fool has positions in and recommends as|adisclosure policy. why arm holdings stock took|a dive todaywas originally published by the motley fool|originally published by the motley fool|published by the motley fool|following details : in this march 21, 2018, file|federal reserve chairman jerome powell speaks following the federal open market|. inpublic remarkson tuesday, federal reserve|that fed officials will likely keep rates higher for longer unless|record, we think delaying rate cuts is a mistake,|at harris financial group said in a statement. "" markets|how many cuts are in the pipeline, "" he added|are in the pipeline, "" he added. bond yields|in the pipeline, "" he added. bond yields"
2487,"Analyst sentiment, specific reference: Wall Street",0.3537110478150005,"##s & p 500's market capitalization. but|& p 500's market capitalization. but this|##etizes ai. microsoft shares look expensive compared to wall|##zes ai. microsoft shares look expensive compared to wall street|ai. microsoft shares look expensive compared to wall street '|to wall street's consensus forecastlo and behold,|wall street's consensus forecastlo and behold, wall|numbersyour average wall street analyst expected impinj|##your average wall street analyst expected impinj to|##r average wall street analyst expected impinj to report|average wall street analyst expected impinj to reportad|p 500's market capitalization. but this year|more concerning to investors was that inflation accelerated faster than wall|concerning to investors was that inflation accelerated faster than wall street|to investors was that inflation accelerated faster than wall street had|investors was that inflation accelerated faster than wall street had expected|: wall street's top analyst calls': sales|wall street's top analyst calls': sales likely|professed "" most bullish analyst on nvidia|##essed "" most bullish analyst on nvidia,","holdings stock took a dive today ', published on 17|on 17 april, 2024. it covers the following|##q : arm ) were taking it on the chin today|arm ) were taking it on the chin today after a|it on the chin today after a disappointing earnings report from|##asml holdings ( nasdaq : asml )|: asml ) led to a broad - based sell|broad - based sell - off in artificial intelligence ( ai|off in artificial intelligence ( ai ) stocks. arm was|stocks. arm was the worst performer of the group as|has been among the winners. the chip designer, known|accelerate from the breakout technology. however, asml '|this morning threw cold water on the sector and led to|got hit hard on the news. image source : get|asml reported a sharp decline in revenue, and its|guidance called for a continued decline in sales in the second|in sales in the second quarter. while that news was|sales in the second quarter. while that news was roughly|expected, both the first - quarter and revenue number and|the year and accelerate in 2025, but the update"
2650,"Analyst sentiment and stock price adjustments, specific reference: GM",0.44537397246411686,"may already be priced into the stock. investors shouldn '|be priced into the stock. investors shouldn't look|priced into the stock. investors shouldn't look at|- positioned for long - term growth, and investors shouldn|positioned for long - term growth, and investors shouldn '|for long - term growth, and investors shouldn't|long - term growth, and investors shouldn't be|"" related : analysts overhaul gm stock price target after earnings|related : analysts overhaul gm stock price target after earnings ""|: analysts overhaul gm stock price target after earnings "" investors|analysts overhaul gm stock price target after earnings "" investors are|overhaul gm stock price target after earnings "" investors are concerned|- - goldman sachs - - analysthey, good morning|- goldman sachs - - analysthey, good morning,|goldman sachs - - analysthey, good morning, billy|sachs - - analysthey, good morning, billy.|its first - quarter earnings report. as of 11 :|first - quarter earnings report. as of 11 : 54|. the disappointing outlook, by wall street's standards|and picks for this ai gold rush, but investors shouldn","this is a news article titled'why arm|, published on 17 april, 2024. it covers|ofarm holdings ( nasdaq : arm ) were|led to a broad - based sell - off in artificial|- based sell - off in artificial intelligence ( ai )|recent months, and arm has been among the winners.|. the chip designer, known for highly efficient cpu architecture|the sector and led to a broad sell - off in|a broad sell - off in ai stocks. as one|roughly what wall street expected, both the first - quarter|revenue growth to improve in the second half of the year|to improve in the second half of the year and accelerate|the year and accelerate in 2025, but the update|accelerate in 2025, but the update shows that demand|demand from chip manufacturers liketsmcmay not be as|from chip manufacturers liketsmcmay not be as strong|not be as strong as expected. that, in turn|strong as expected. that, in turn, could be|as its collaboratornvidia. still, the company|collaboratornvidia. still, the company figures to"
2938,"Valuation and growth expectations, specific reference: Netflix",0.5778090053273816,"spook many investors since the stock trades at a 43|##ook many investors since the stock trades at a 43x|many investors since the stock trades at a 43x p|investors since the stock trades at a 43x p /|to find dividend stocks - - especially ones that historically|reward the company with a higher price once it starts generating|the company with a higher price once it starts generating some|company with a higher price once it starts generating some revenue|with a higher price once it starts generating some revenue?|price once it starts generating some revenue? it has a|once it starts generating some revenue? it has a deal|earnings might seem pricey, it's attractive when|buy ) rating on the shares. here's why|) rating on the shares. here's why the|rating on the shares. here's why the dip|the back half of the year outlook for netflix. the|back half of the year outlook for netflix. the company|half of the year outlook for netflix. the company will|of the year outlook for netflix. the company will be|also the continued confidence around portfolio trading plus rounding up this","original article onbusiness insider|permalink | © copyright 2024etf.|##ink | © copyright 2024etf. com.|##n, ceo of ig north america and president of|, ceo of ig north america and president of online|ig north america and president of online broker tasty|of online broker tastytrade. kinahan|said mandy xu, head of derivatives market intelligence at cb|hold in place the current restrictive stance of policy for longer|dalzanemdor ( sage - 718 ) in|. the company expects the following milestones for the dal|company expects the following milestones for the dalzanem|phase 2 clinical development program in 2024 : topline|##benzinga. com© 2024 benzinga.|| © copyright 2024etf. com. all|. it covers the following details : ( bloomberg ) -|5 % as of 12 : 30 p. m.|an approval decision on tradipitant in treating symptoms|covers the following details : ( bloomberg ) - - the|details : ( bloomberg ) - - the leaders of wall"
2576,Market reactions to macroeconomic indicators,0.470967818726989,"forecast for tesla shares ( they traded at $ 166 on|which he continued to rate the stock an underperform|online marketplace reported revenue of $ 34. 9 billion last|titled'stock market today : stocks slide after gdp report|market today : stocks slide after gdp report prompts inflation|today : stocks slide after gdp report prompts inflation,|: stocks slide after gdp report prompts inflation, growth|stocks slide after gdp report prompts inflation, growth concerns|slide after gdp report prompts inflation, growth concerns '|after gdp report prompts inflation, growth concerns':|gdp report prompts inflation, growth concerns': la|report prompts inflation, growth concerns': lation|noted last quarter, our initial outlook for 2024 assumed|last quarter, our initial outlook for 2024 assumed a|in an investor call after the earnings. meanwhile, the|an investor call after the earnings. meanwhile, the us|investor call after the earnings. meanwhile, the us has|call after the earnings. meanwhile, the us has been|173 billion in liquidity as of the end of the|billion in liquidity as of the end of the first","led to a broad - based sell - off in artificial|. as one of the most expensive in the sector,|and its guidance called for a continued decline in sales in|guidance called for a continued decline in sales in the second|continued decline in sales in the second quarter. while that|in sales in the second quarter. while that news was|be as strong as expected. that, in turn,|in turn, could be a warning sign for arm as|next for armhigh expectations are built into arm stock|100 and isn't putting up the kind of eye|up the kind of eye - popping revenue growth as its|, the company figures to have a bright future in ai|the company figures to have a bright future in ai as|part because it requires less power than alternatives. we '|comes out. until then, expect continued volatility|from the stock as investors weigh its valuation with the future|ai. should you invest $ 1, 000 in arm|that made the cut could produce monster returns in the coming|monster returns in the coming years. consider whennvid|. consider whennvidiamade this list on april"
1584,"Interest rate expectations, specific reference: Fed",0.21702034029110556,", torpedoing hopes that the fed would start cutting interest|torpedoing hopes that the fed would start cutting interest rates|##ing hopes that the fed would start cutting interest rates any|hopes that the fed would start cutting interest rates any time|may add regulations which restrict its growth prospects at home and|add regulations which restrict its growth prospects at home and abroad|regulations which restrict its growth prospects at home and abroad.|soon cut interest rates. slowing growth and high inflation is|cut interest rates. slowing growth and high inflation is a|allow insider shareholders to potentially sell stock before the six -|##scoring concernsthat the central bank may not cut|##ring concernsthat the central bank may not cut interest|concernsthat the central bank may not cut interest rates|##that the central bank may not cut interest rates as|##t the central bank may not cut interest rates as quickly|regulation ultimately gets implemented in the market. from my perspective|cut in june on tuesday as inflation remains on course to|restrictive policy forces the economy into recession, is the base|policy forces the economy into recession, is the base case|the timing and size of the fed's rate cuts","##ml holdings ( nasdaq : asml ) led|##daq : asml ) led to a broad -|asml ) led to a broad - based sell -|artificial intelligence ( ai ) stocks. arm was the worst|stocks. arm was the worst performer of the group as|day down 12 %, which was even worse than as|in recent months, and arm has been among the winners|arm has been among the winners. the chip designer,|chip designer, known for highly efficient cpu architecture, has|the sector and led to a broad sell - off in|broad sell - off in ai stocks. as one of|getty images. asml reported a sharp decline in|the update shows that demand from chip manufacturers liketsmc|update shows that demand from chip manufacturers liketsmcmay|shows that demand from chip manufacturers liketsmcmay not|chip manufacturers liketsmcmay not be as strong as|liketsmcmay not be as strong as expected.|##mcmay not be as strong as expected. that,|growth as its collaboratornvidia. still, the|favored by companies like nvidia, in part because"
