feature_id,label,label_score,positive_sentences,negative_sentences
215,"Analyst sentiment and market signals, specific reference: Citi",0.8999999700317358,", Citi says.A bullishstock market signal just hinted|Citi says.A bullishstock market signal just hinted at|iti says.A bullishstock market signal just hinted at|says.A bullishstock market signal just hinted at 19|said he believes analysts are ""Fed watching way too much|he believes analysts are ""Fed watching way too much right|believes analysts are ""Fed watching way too much right now|analysts are ""Fed watching way too much right now.""|up its spending on its unprofitable Reality Labs segment|its spending on its unprofitable Reality Labs segment,|spending on its unprofitable Reality Labs segment, which|on its unprofitable Reality Labs segment, which houses|sort of mythical ideal called ""price stability,"" aligned with|of mythical ideal called ""price stability,"" aligned with an|mythical ideal called ""price stability,"" aligned with an equally|ideal called ""price stability,"" aligned with an equally ephem|to the situation as a ""price spiral,"" with rent|the situation as a ""price spiral,"" with rent increases|situation as a ""price spiral,"" with rent increases surpass|as a ""price spiral,"" with rent increases surpassing","as its collaboratorNvidia. Still, the company|5... if you invested $1,000 at the|by the end of the year, down from 6|.51%Here's what else is happening today:|%Here's what else is happening today:Elon|. It covers the following details: (Bloomberg)|% on Wednesday, down nearly 5% from the|happened since the start of 2023 was back in|the start of 2023 was back in October,|start of 2023 was back in October, the|$0.15, narrower than the $0.|graph.Meanwhile, 54% of respondents believe|, as just 7% of respondents believe a hard|as the bar has increased as well for earnings.""Wed|.15, narrower than the $0.57 Wall|aid on Tuesday, that it will ""take longer than|potentially throwing in the towel, and eventually replaced by AI|cut their estimates on Tesla) nicely captures the entirety of|2024. It covers the following details: “|one of them. The 10 stocks that made the"
180,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.9837198401880767,:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are,"taking it on the chin today after a disappointing earnings report|report fromASML Holdings(NASDAQ: ASML|DAQ: ASML)led to a broad-based sell|ML)led to a broad-based sell-off in artificial|to a broad-based sell-off in artificial intelligence (AI|artificial intelligence (AI) stocks. Arm was the worst|as its shares finished the day down 12%, which|%, which was even worse than ASML's 7|drop.Arm shares get spookedArtificial intelligence|get spookedArtificial intelligence stockshave soared|, and Arm has been among the winners. The chip|and Arm has been among the winners. The chip designer|among the winners. The chip designer, known for highly|for highly efficient CPU architecture, has seen revenue growth accelerate|, has seen revenue growth accelerate from the breakout technology.How|growth accelerate from the breakout technology.However, ASML|ASML's update this morning threw cold water on the|expensive in the sector, Arm got hit hard on the|ML reported a sharp decline in revenue, and its guidance|reported a sharp decline in revenue, and its guidance called"
272,"Valuation ratios, specific reference: RIVN",0.927280685020901,"trailing price-to-earnings (P/E) ratio|price-to-earnings (P/E) ratiovers|-to-earnings (P/E) ratioversus|DAQ: RIVN)stock has dropped far enough|: RIVN)stock has dropped far enough.|RIVN)stock has dropped far enough.UB|IVN)stock has dropped far enough.UBSan|-looking price-to-earnings (P/E) ratio|price-to-earnings (P/E) ratio sits|-to-earnings (P/E) ratio sits at|'s trailing price-to-earnings (P/E)|and earnings (make that ""losses"")The news|earnings (make that ""losses"")The news wasn|(make that ""losses"")The news wasn't|make that ""losses"")The news wasn't all|forward price-to-earnings (P/E) ratio|price-to-earnings (P/E) ratio and|-to-earnings (P/E) ratio and price|DAQ: TSLA)stock investors.*Stock prices|: TSLA)stock investors.*Stock prices used","s turned lower on Wednesday led by losses across tech.As|on Wednesday led by losses across tech.As Yahoo Finance's|. However, he expects that to change once rates start|he expects that to change once rates start moving lower.“|expects that to change once rates start moving lower.“People|a promising future for the stock.As market dynamics evolve,|liquidity and help reduce an inflation rate that rose to a|is understandable. Trucking is a cyclical business,|the surge in yields.He hinted at further delays, saying|have done incredible work and those learnings will carry over|option,” he said. “We really want this to|remain his own and are unaffected by The Motley Fool|work inside existing computer systems. They help businesses by doing|. They help businesses by doing repetitive tasks, like filling|a couple things - inflation is hotter than most expect,|Lock in your rate today.|'s examine that.Read more:Column: Trump's media|exact opposite. They'd argue Musk has led the company|but also enabled the evolution of AI.In the company's|have clearly not given us greater confidence and instead indicate that"
116,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.8439617504799786,Mellon (BK) posted aprofit beatwhile Johnson &|(BK) posted aprofit beatwhile Johnson & Johnson|BK) posted aprofit beatwhile Johnson & Johnson (|) posted aprofit beatwhile Johnson & Johnson (J|RIVN)stock has dropped far enough.UB|IVN)stock has dropped far enough.UBSan|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|economy by gross domestic product (GDP). It's|by gross domestic product (GDP). It's evident|gross domestic product (GDP). It's evident that|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they,"Today', published on 17 April, 2024|17 April, 2024. It covers the|performer of the group as its shares finished the day down|its shares finished the day down 12%, which was|12%, which was even worse than ASML's|% drop.Arm shares get spookedArtificial|may not be as strong as expected. That, in|strong as expected. That, in turn, could be|That, in turn, could be a warning sign for|, in turn, could be a warning sign for Arm|its CPU architecture is favored by companies like Nvidia, in|it requires less power than alternatives.We'll get an update|Arm Holdings wasn’t one of them. The 10|’t one of them. The 10 stocks that made|This is a news article titled 'Stock market today|This is a news article titled 'Stock market today:|ug off Powell's hawkish commentary', published on|inflation appeared to be stuck, indicating rates will remain high|to be stuck, indicating rates will remain high.Major|stocks rose on Wednesday as traders tried to recover from a"
94,"M&A activity, specific reference: Merck",0.7624060765218916,related to Merck’s acquisition ofHar|to Merck’s acquisition ofHarpoon|Merck’s acquisition ofHarpoon Ther|ck’s acquisition ofHarpoon Therapeutics|’s acquisition ofHarpoon Therapeutics in|ASDAQ: AAPL)stock has been a favorite|DAQ: AAPL)stock has been a favorite of|: AAPL)stock has been a favorite of individual|AAPL)stock has been a favorite of individual and|DAQ: ADBE)stock for long-term investors|: ADBE)stock for long-term investors.*|ADBE)stock for long-term investors.*Stock|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they,"its shares finished the day down 12%, which was|expected, both the first-quarter and revenue number and the|growth to improve in the second half of the year and|cut could produce monster returns in the coming years.Consider|monster returns in the coming years.Consider whenNvid|2005... if you invested $1,000|, Federal Reserve Chairman Jerome Powell speaks following the Federal Open|rose Wednesday as traders tried to move past Jerome Powell's|in a note on Wednesday. ""For the record,|a note on Wednesday. ""For the record, we|commentary': edged lower on Wednesday, with the 10|lower on Wednesday, with the 10-year Treasury dropping|. My thesis was for a first-quarter peak followed by|was for a first-quarter peak followed by a less than|-quarter peak followed by a less than 10% decline|less than 10% decline that bottomed by Memorial|the risk being less or none. If the 2|or none. If the 2-Year Treasury somehow spikes|we have a big and serious problem.Story continues(F|or more will be the trigger.Permalink| © Copyright"
375,"Profit beats and analyst sentiment, specific reference: BK",0.6433564480870057,"(BK) posted aprofit beatwhile Johnson & Johnson|BK) posted aprofit beatwhile Johnson & Johnson (|) posted aprofit beatwhile Johnson & Johnson (J|Mellon (BK) posted aprofit beatwhile Johnson &|about $20,000.Theanalyst is more bullish|$20,000.Theanalyst is more bullishon|20,000.Theanalyst is more bullishon other|in the Middle East, risingoil prices, robustret|the Middle East, risingoil prices, robustretail|Middle East, risingoil prices, robustretail sales|,000.Theanalyst is more bullishon other Chinese|000.Theanalyst is more bullishon other Chinese EV|East, risingoil prices, robustretail sales numbers|up its spending on its unprofitable Reality Labs segment|its spending on its unprofitable Reality Labs segment,|spending on its unprofitable Reality Labs segment, which|on its unprofitable Reality Labs segment, which houses|Merck’s acquisition ofHarpoon Ther|ck’s acquisition ofHarpoon Therapeutics|’s acquisition ofHarpoon Therapeutics in","Arm next month when its fiscal fourth-quarter earnings report comes|when its fiscal fourth-quarter earnings report comes out. Until|earnings report comes out. Until then, expect continued volatility|comes out. Until then, expect continued volatility from the|then, expect continued volatility from the stock as investors weigh|ajor averages ticked higher at the open as traders looked|indexes stood at the 9:30 a.m.|Bloomberg) -- The stock market saw its longest losing|loomberg) -- The stock market saw its longest losing streak|flows throughout the year during most years. We are definitely|the year during most years. We are definitely an active|major indexes started the day in the green, the S|(^GSPC) ended down about 0.|500 closed lower for a fourth straight day on Wednesday|-six percent of respondents to Bank of America's Global Fund|on WednesdayUS stocks rose on Wednesday, with the S|WednesdayUS stocks rose on Wednesday, with the S&P|4% afterbooking a three-day run of losses,|% afterbooking a three-day run of losses, while|term but that its favorable longer-term outlook remains unchanged.Pro"
351,"Macro headlines, specific reference: Jerome Powell",0.527360956820788,"Is Flying Higher Today': Advisoranalyst team just identified|Flying Higher Today': Advisoranalyst team just identified what|Higher Today': Advisoranalyst team just identified what they|Today': Advisoranalyst team just identified what they believe|': Advisoranalyst team just identified what they believe are|Meta's (META) revenueforecast rattled investorsey|'s (META) revenueforecast rattled investorseyeing|(META) revenueforecast rattled investorseyeing the|META) revenueforecast rattled investorseyeing the next|Major indexes dropped last week afterinflation came in hotter|indexes dropped last week afterinflation came in hotter-than|dropped last week afterinflation came in hotter-than-|last week afterinflation came in hotter-than-expected|week afterinflation came in hotter-than-expected in|can confidently begin easing rates.qFed Chairman Jerome Powell told|confidently begin easing rates.qFed Chairman Jerome Powell told an|begin easing rates.qFed Chairman Jerome Powell told an event|easing rates.qFed Chairman Jerome Powell told an event in|quarter, with earnings lagginganalyst' expectations.|, with earnings lagginganalyst' expectations. Core","Hound AI to reach that|be looking for policies that go beyond simply saying that you|the company to tap into an existing customer base while allowing|momentum, it could serve as a catalyst for the market|news is that Keurig Dr Pepper's profits are|With demand still solid, it is hard to see how|it is hard to see how inflation will continue to slow|long it will take to build all the computing power|REITs have excellent track records of|how long it will take to build all the computing power|things around appear to be taking hold. For example,|auctions are often used to sell shares in an IPO rather|simply saying that you're not allowed to trade on material|turnaround could be and how this could affect the entire ecosystem|access to cutting-edge chipmaking tools, Beijing has been|with earnings that are in line with expectations, this stock|processors. The chips, which feature built-in neural processing|initiatives at Tesla and was viewed by many as key to|On the regulatory front, Google still faces antitrust probes|the company is likely going to need to spend heavily on"
311,"Analyst sentiment, specific reference: Motley Fool Stock Advisor",0.8174753482788899,:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are|:TheMotley Fool Stock Advisoranalyst team just identified|Motley Fool Stock Advisoranalyst team just identified what|ley Fool Stock Advisoranalyst team just identified what they|Fool Stock Advisoranalyst team just identified what they believe|Stock Advisoranalyst team just identified what they believe are,", and Arm has been among the winners. The chip|chip manufacturers likeTSMCmay not be as strong|like Nvidia, in part because it requires less power than|stocksfor investors to buy now… and Arm Holdings wasn|no position in any of the stocks mentioned. The Mot|any of the stocks mentioned. The Motley Fool has|of the stocks mentioned. The Motley Fool has positions|mentioned. The Motley Fool has positions in and recommends|adisclosure policy.Why Arm Holdings Stock Took a|Industrial Average: 37,918.94, up|37,918.94, up 0.|asdaq Composite: 15,940.95,|: 15,940.95, up 0|15,940.95, up 0.51|.Story continuesIn commodities, bonds, and crypto:|0.9% to $84.51 a|to $89.04 a barrel.Goldrose|$89.04 a barrel.Goldrose 0|to $2,387.25 per ounce.The|points to 4.626%.Bitcoinslipped"
374,"Investor sentiment and stock splits, specific reference: ADBE",0.7165442112059448,"DAQ: ADBE)stock for long-term investors|: ADBE)stock for long-term investors.*|ADBE)stock for long-term investors.*Stock|DBE)stock for long-term investors.*Stock prices|of people seem to care aboutstock splits, so much|people seem to care aboutstock splits, so much so|the first-quarter-earnings reports.The analyst says investor|first-quarter-earnings reports.The analyst says investor sentiment|-quarter-earnings reports.The analyst says investor sentiment is|Meta's (META) revenueforecast rattled investorsey|'s (META) revenueforecast rattled investorseyeing|(META) revenueforecast rattled investorseyeing the|META) revenueforecast rattled investorseyeing the next|DAQ: TSLA)stock investors.*Stock prices|: TSLA)stock investors.*Stock prices used|TSLA)stock investors.*Stock prices used were|SLA)stock investors.*Stock prices used were the|said he believes analysts are ""Fed watching way too much|he believes analysts are ""Fed watching way too much right|believes analysts are ""Fed watching way too much right now","SML reported a sharp decline in revenue, and its|ML reported a sharp decline in revenue, and its guidance|decline in revenue, and its guidance called for a continued|-earnings (P/E) ratioabove 100|quadrupledthe return of S&P 500 since|in and recommends ASML, Nvidia, and Taiwan Semiconductor|recommends ASML, Nvidia, and Taiwan Semiconductor Manufacturing.|rates are sufficiently restrictive, instead of how many cuts are|500: 5,074.74, up|: 5,074.74, up 0|Industrial Average: 37,918.94, up|: 37,918.94, up 0|15,940.95, up 0.|.Bitcoin is about to undergo another ""halving""|coin is about to undergo another ""halving"" event|event. Here's why that could send its price soaring|says.Story continuesIn commodities, bonds, and crypto|oil dropped 0.9% to $84.|, slumped 1% to $89.04|slumped 1% to $89.04 a"
192,"Valuation ratios, specific reference: P/E",0.6886785339559344,". economy.Bloomberg/Getty ImagesFed Vice Chairman Philip Jefferson|economy.Bloomberg/Getty ImagesFed Vice Chairman Philip Jefferson was|.Bloomberg/Getty ImagesFed Vice Chairman Philip Jefferson was even|loomberg/Getty ImagesFed Vice Chairman Philip Jefferson was even more|(NYSE: BA)stock isn't a candidate|YSE: BA)stock isn't a candidate for|SE: BA)stock isn't a candidate for inclusion|a cheap-looking price-to-earnings multiple (P|cheap-looking price-to-earnings multiple (P/E|-looking price-to-earnings multiple (P/E)|price-to-earnings multiple (P/E) of|-to-earnings multiple (P/E) of|, with a price-to-earnings growth, or|with a price-to-earnings growth, orPEG|a price-to-earnings growth, orPEG ratio|price-to-earnings growth, orPEG ratio,|-to-earnings growth, orPEG ratio, of|.Although its price-to-earnings (P/E|though its price-to-earnings (P/E)|its price-to-earnings (P/E) ratio","if you have a modest amount of money to put to|It's probably not the first name you think about when|could be more than just the healthy dividend checks it's|tools, Beijing has been buying up kit to make more|, more than doubling if we stretch the starting line to|. Thursday afternoon can't come soon enough for the excited|, now may be a prime time to invest in the|without triggering a recession, then eases rates to stimulate|. Still, it's nice to see a solid income|see a solid income stock that boasts one that's higher|that could become an important growth driver. It is a|company's robust cash-flow machine and diversified business model is|left on the table that could be showing up on Roku|, it still has to prove that it can be a|significant cash resources, an expanding position in AI, and|approach has resonated with younger consumers, and it has|has resonated with younger consumers, and it has become|it's capitalizing on its initial growth spurt to|This generated explosive demand for the high-performance semiconductor chips produced|it the fuel to increase its already attractive distribution (currently"
