feature_id,label,label_score,positive_sentences,negative_sentences
22981,"Analyst sentiment, specific reference: Fed",0.7499998769714784,"said he believes analysts are ""Fed watching way too|he believes analysts are ""Fed watching way too much|believes analysts are ""Fed watching way too much right|analysts are ""Fed watching way too much right now|are ""Fed watching way too much right now.""|Are AboutPhoto: ShutterstockLatest Ratings for|AboutPhoto: ShutterstockLatest Ratings for NFL|6 billion. The adjusted-earnings estimate also got|billion. The adjusted-earnings estimate also got a|declared a 5%growth in the regular quarterly|a 5%growth in the regular quarterly dividend|5%growth in the regular quarterly dividend to|share analysts were expecting.On theearnings call, CEO|analysts were expecting.On theearnings call, CEO Sat|were expecting.On theearnings call, CEO Satya|expecting.On theearnings call, CEO Satya Nad|5, compared to prior guidance of|, compared to prior guidance of $|compared to prior guidance of $8|to prior guidance of $8.","company figures to have a bright future in AI as its|.We'll get an update from Arm next month when|10 stocks that made the cut could produce monster returns|the cut could produce monster returns in the coming years.C|cut could produce monster returns in the coming years.Cons|2002*.Story continuesSee the|2002*.Story continuesSee the 1|2*.Story continuesSee the 10 stocks »|In this March 21, 201|high.Major averages ticked higher at the open|or averages ticked higher at the open as traders looked|dipped.Stocks tumbled this week as investors continued|Stocks tumbled this week as investors continued to digest|2,387.25 per ounce|as a handful of big techs sold off — despite|handful of big techs sold off — despite a slide|slide in bond yields.Most Read from BloombergD|yields.Most Read from BloombergDubai Gr|from BloombergDubai Grinds to Standstill|about navigating client portfolios through the current market environment"
35158,"Post-earnings reactions, specific reference: earnings",0.7183325694035387,"indexes dropped last week afterinflation came in hotter|dropped last week afterinflation came in hotter-than|last week afterinflation came in hotter-than-ex|week afterinflation came in hotter-than-expected|iti says.A bullishstock market signal just hinted|says.A bullishstock market signal just hinted at|.A bullishstock market signal just hinted at|The adjusted-earnings estimate also got a tweak|adjusted-earnings estimate also got a tweak.|Citi says.A bullishstock market signal just hint|Major indexes dropped last week afterinflation came in hot|now, the company's recentearnings callmade clear|, the company's recentearnings callmade clear that|the company's recentearnings callmade clear that it|company's recentearnings callmade clear that it would|'s recentearnings callmade clear that it would accelerate|quarter, with earnings lagginganalyst' expectations.|, with earnings lagginganalyst' expectations. Core|with earnings lagginganalyst' expectations. Core income|earnings lagginganalyst' expectations. Core income per","sell-off in artificial intelligence (AI) stocks. Arm|-off in artificial intelligence (AI) stocks. Arm was|half of the year and accelerate in 202|company figures to have a bright future in AI as its|AI as its CPU architecture is favored by companies like N|comes out. Until then, expect continued volatility from the|, expect continued volatility from the stock as investors weigh its|.Should you invest $1,000 in Arm|this list on April 15, 20|See the 10 stocks »*Stock Advisor|April 15, 2024Jer|, 2024Jeremy Bowmanhas no|2024Jeremy Bowmanhas no position|2024Jeremy Bowmanhas no position in|no position in any of the stocks mentioned. The Mot|and recommends ASML, Nvidia, and Taiwan Sem|adisclosure policy.Why Arm Holdings Stock Took|closure policy.Why Arm Holdings Stock Took a D|Kaster/APUS stocks rose Wednesday as traders tried|stocks rose Wednesday as traders tried to move past Jerome Powell"
5391,"Analyst sentiment, specific reference: Tesla",0.5884512709159844,"(NYSE: BA)stock isn't a candidate|YSE: BA)stock isn't a candidate for|SE: BA)stock isn't a candidate for inclusion|,000.Theanalyst is more bullish|000.Theanalyst is more bullishon|00.Theanalyst is more bullishon other|0.Theanalyst is more bullishon other Chinese|just had a good post-earnings chat with B|: Tesla(TSLA)shares stumbled badly until|Tesla(TSLA)shares stumbled badly until this|(TSLA)shares stumbled badly until this week|TSLA)shares stumbled badly until this week amid|LA)shares stumbled badly until this week amid falling|ical ideal called ""price stability,"" aligned with an equally|ideal called ""price stability,"" aligned with an equally ep|were expecting.On theearnings call, CEO Satya|expecting.On theearnings call, CEO Satya Nad|.On theearnings call, CEO Satya Nadella|(META) revenueforecast rattled investorseye|META) revenueforecast rattled investorseyeing","intelligence (AI) stocks. Arm was the worst performer|Arm was the worst performer of the group as its shares|, has seen revenue growth accelerate from the breakout technology|out technology.However, ASML's update this morning|, Arm got hit hard on the news.Image source:|Images.ASML reported a sharp decline in revenue,|SML reported a sharp decline in revenue, and its|February after it promised accelerating revenue growth due to AI-related|due to AI-related demand.What's next for Arm|ping revenue growth as its collaboratorNvidia. Still|AI as its CPU architecture is favored by companies like N|is favored by companies like Nvidia, in part because|earnings report comes out. Until then, expect continued volatility|expect continued volatility from the stock as investors weigh its valuation|Arm Holdings wasn’t one of them. The 1|Nvidiamade this list on April 15|Advisorprovides investors with an easy-to-follow|provides investors with an easy-to-follow blueprint|ides investors with an easy-to-follow blueprint for|on rate cuts. Inpublic remarkson Tuesday, Federal"
19339,"Valuation ratios, specific reference: Baidu",0.461559430176984,economy by gross domestic product (GDP). It's|by gross domestic product (GDP). It's evident|gross domestic product (GDP). It's evident that|domestic product (GDP). It's evident that Ba|vidia's forward price-to-earnings (P/E|'s forward price-to-earnings (P/E)|forward price-to-earnings (P/E) ratio|price-to-earnings (P/E) ratio and|product (GDP). It's evident that Baidu|from its initial public offering (IPO) 1|its initial public offering (IPO) 10|initial public offering (IPO) 10 years|public offering (IPO) 10 years ago|. Security and Exchange Commission (SEC) could not access|Security and Exchange Commission (SEC) could not access the|and Exchange Commission (SEC) could not access the company|Exchange Commission (SEC) could not access the company's|a cheap-looking price-to-earnings multiple (P|cheap-looking price-to-earnings multiple (P/E|-looking price-to-earnings multiple (P/E),"""Markets need to focus on the fact that rates|ets need to focus on the fact that rates are sufficiently|that rates are sufficiently restrictive, instead of how many cuts|rates are sufficiently restrictive, instead of how many cuts are|of how many cuts are in the pipeline,"" he added|cuts are in the pipeline,"" he added.Bond yields|However, over the years with the|cash bonds in many quarters. I am getting closer.|high as 21.79, its highest|investors adjusting portfolios in response to the recent rise|the past two years, correlation levels have been historically muted|past two years, correlation levels have been historically muted,|years, correlation levels have been historically muted, even lower|been historically muted, even lower than what we saw in|higher than the previous decade for longer than many initially hoped|] and still have strong employment, but most importantly,|applications increased 3.3% from the prior week|rates continue to rise.""Mortgage rates have been|ates increased for the second consecutive week, driven by incoming|concern creeping in on the Street on the back half"
32045,"Valuation ratios, specific reference: price-to-earnings",0.6474598589461926,"at a modest price-to-earnings ratio of|a modest price-to-earnings ratio of 2|modest price-to-earnings ratio of 23|price-to-earnings ratio of 23 despite|Citi says.A bullishstock market signal just hint|iti says.A bullishstock market signal just hinted|says.A bullishstock market signal just hinted at|.A bullishstock market signal just hinted at|-to-earnings ratio of 23 despite the|Major indexes dropped last week afterinflation came in hot|indexes dropped last week afterinflation came in hotter|dropped last week afterinflation came in hotter-than|-to-earnings (P/E) ratio and price|vidia's forward price-to-earnings (P/E|'s forward price-to-earnings (P/E)|forward price-to-earnings (P/E) ratio|price-to-earnings (P/E) ratio and|at aforward price-to-earnings (P/E|, at a price-to-earnings (P/E|at a price-to-earnings (P/E)","4Jeremy Bowmanhas no position in any of the|Motley Fool has positions in and recommends ASML|and recommends ASML, Nvidia, and Taiwan Sem|, Nvidia, and Taiwan Semiconductor Manufacturing.|024. It covers the following details: In|tried to move past Jerome Powell's hawkish commentary|indexes stood at the 9:30 a.m|0.95, up 0.51|dropped three basis points to 4.626|4.626%.Bitcoinsl|41.Read the original article onBusiness Insider|original article onBusiness Insider|ering Clients Through Unstable MarketsPaul Schatz,|back. I wouldn’t read too much into that.|too much into that. Contrary to popular belief,|into that. Contrary to popular belief, elections have|. Contrary to popular belief, elections have almost no|apt to hedge the downside or own low volatility instruments|outcomes like buffered ETFs.JB: Are you|ETFs.JB: Are youinvesting"
13266,"Valuation metrics, specific reference: Baidu",0.5340472131719673,"economy by gross domestic product (GDP). It's|by gross domestic product (GDP). It's evident|gross domestic product (GDP). It's evident that|domestic product (GDP). It's evident that Ba|product (GDP). It's evident that Baidu|part of our businesses and aftermarket services, representing|of our businesses and aftermarket services, representing 7|our businesses and aftermarket services, representing 70|businesses and aftermarket services, representing 70%|average forward-looking price-to-earnings ratio of|forward-looking price-to-earnings ratio of 1|-looking price-to-earnings ratio of 17|price-to-earnings ratio of 17).|-to-earnings ratio of 17). It|people seem to care aboutstock splits, so much so|seem to care aboutstock splits, so much so that|to care aboutstock splits, so much so that we|of people seem to care aboutstock splits, so much|East, risingoil prices, robustretail sales|, risingoil prices, robustretail sales numbers",".Should you invest $1,000 in Arm|:TheMotley Fool Stock Advisoranalyst|Jeremy Bowmanhas no position in any of the stocks|soaring.Stop thinking your expensive watch is an investment,|aring.Stop thinking your expensive watch is an investment, Role|omberg) -- The stock market saw its longest losing|) -- The stock market saw its longest losing streak since|bergDubai Grinds to Standstill as Cloud|Dubai Grinds to Standstill as Cloud Se|inds to Standstill as Cloud Seeding Worsens|to Standstill as Cloud Seeding Worsens Flood|iders Bankruptcy to Deal With Leases and Labor|&P 500 closed lower for a fourth straight|500 closed lower for a fourth straight day|falls almost 4%': price, fell below $|almost 4%': 10-year Treasury yield|early trade on WednesdayUS stocks rose on Wednesday, with|WednesdayUS stocks rose on Wednesday, with the S&P|ing a comeback as investors put interest rate worries on the|almost 4%': at 4:15"
31794,"Economic indicators and market signals, specific reference: GDP",0.3581670154542363,"economy by gross domestic product (GDP). It's|by gross domestic product (GDP). It's evident|gross domestic product (GDP). It's evident that|domestic product (GDP). It's evident that Ba|product (GDP). It's evident that Baidu|will be two (Fed) cuts, to one|be two (Fed) cuts, to one then|two (Fed) cuts, to one then to|for either extreme, some analysts are|either extreme, some analysts are seeking|Citi says.A bullishstock market signal just hint|iti says.A bullishstock market signal just hinted|says.A bullishstock market signal just hinted at|SE: GL)stock plummeted by more than|: GL)stock plummeted by more than|and earnings (make that ""losses"")The news|earnings (make that ""losses"")The news wasn|(make that ""losses"")The news wasn't|make that ""losses"")The news wasn't all|.Although its price-to-earnings (P/E","stockshave soared in recent months, and Arm|ared in recent months, and Arm has been among the|That, in turn, could be a warning sign for|0 and isn't putting up the kind of eye-pop|Still, the company figures to have a bright future in|stocks that made the cut could produce monster returns in the|provides investors with an easy-to-follow blueprint|The Motley Fool has positions in and recommends AS|Chair Powell said the inflation fight appears to have stalled,|the inflation fight appears to have stalled, and central bank|stalled, and central bankers needed more confidence inflation was|bankers needed more confidence inflation was on track to fall|Powell's comments in Washington, DC, yesterday, material|DC, yesterday, materially reduce the chance of a|a mistake, and the risk of an unwanted recession is|the risk of an unwanted recession is rising. But we|is rising. But we don't have our hands on|we don't have our hands on the policy levers|levers.""""The Fed picked a bad time to have|ions in Breakup Fees for Ditching New"
12740,"Analyst Sentiment, specific reference: Jerome Powell",0.332104315923852,"TSLA)stock investors.*Stock prices used were the|ued from the article titled 'Fed Chair Jerome Powell|from the article titled 'Fed Chair Jerome Powell has|the article titled 'Fed Chair Jerome Powell has an|article titled 'Fed Chair Jerome Powell has an ‘|titled 'Fed Chair Jerome Powell has an ‘un|average forward-looking price-to-earnings ratio of|Q: RIVN)stock has dropped far enough|: RIVN)stock has dropped far enough.U|RIVN)stock has dropped far enough.UBS|IVN)stock has dropped far enough.UBSanal|has dropped far enough.UBSanalyst Joseph Spak|dropped far enough.UBSanalyst Joseph Spak upgraded|for either extreme, some analysts are|either extreme, some analysts are seeking|extreme, some analysts are seeking price|is a news article titled 'Fed Chair Jerome Powell|a news article titled 'Fed Chair Jerome Powell has|news article titled 'Fed Chair Jerome Powell has an|article titled 'Fed Chair Jerome Powell has an ‘","artificial intelligence (AI) stocks. Arm was the worst|of the most expensive in the sector, Arm got hit|source: Getty Images.ASML reported a sharp|.ASML expects revenue growth to improve in the second|expects revenue growth to improve in the second half of the|growth to improve in the second half of the year and|5, but the update shows that demand from chip manufacturers|have a bright future in AI as its CPU architecture is|AI as its CPU architecture is favored by companies like N|by companies like Nvidia, in part because it requires|an update from Arm next month when its fiscal fourth-qu|update from Arm next month when its fiscal fourth-quarter|from Arm next month when its fiscal fourth-quarter earnings|Arm next month when its fiscal fourth-quarter earnings report|-follow blueprint for success, including guidance on building|ollow blueprint for success, including guidance on building a|including guidance on building a portfolio, regular updates from analysts|.Why Arm Holdings Stock Took a Dive Today|bankers needed more confidence inflation was on track to fall|more confidence inflation was on track to fall to its"
33665,"Analyst sentiment, specific reference: RIVN",0.37800682482474707,"Q: RIVN)stock has dropped far enough|: RIVN)stock has dropped far enough.U|RIVN)stock has dropped far enough.UBS|IVN)stock has dropped far enough.UBSanal|has dropped far enough.UBSanalyst Joseph Spak|dropped far enough.UBSanalyst Joseph Spak upgraded|far enough.UBSanalyst Joseph Spak upgraded the|enough.UBSanalyst Joseph Spak upgraded the stock|thinking there will be two (Fed) cuts,|there will be two (Fed) cuts, to|will be two (Fed) cuts, to one|be two (Fed) cuts, to one then|two (Fed) cuts, to one then to|Flying Higher Today': Advisoranalyst team just identified|Higher Today': Advisoranalyst team just identified what|Today': Advisoranalyst team just identified what they|part of our businesses and aftermarket services, representing|of people seem to care aboutstock splits, so much|now, the company's recentearnings callmade clear|, the company's recentearnings callmade clear that","forced to decide between paying or losing access to Netflix.""|. Risks remain, of course, but investors who|continued investments in both capacity ramp and technology to be ready|or even a grocery store with a gross margin as low|a grocery store with a gross margin as low as Cost|12.6%.Investors tend to shy away|move. Everything else is like variations on a horse carriage|a product that is likely already in your house into an|already in your house into anational phenomenon.Reilly is|that, brand awareness only reached 32%, which|many good opportunities that are this cheap. Therefore, Che|.While it is unclear how many locations Chipotle|of $371.6 billion, which rose|371.6 billion, which rose by|seeks to remove TILs from cancer patients' bodies|to remove TILs from cancer patients' bodies,|Administration (FDA) for previously treated advanced melanoma, a|intelligence, cloud computing, healthcare, logistics, and over|of €6.10 per ordinary share for the|These include sensors, cameras, and radar for the car"
28968,"Post-earnings reactions, specific reference: Humana",0.586068850841714,"a promising initial public offering (IPO), and revenue|promising initial public offering (IPO), and revenue expectations|price-to-earnings ratio of 23 despite|-to-earnings ratio of 23 despite the|6 billion. The adjusted-earnings estimate also got|billion. The adjusted-earnings estimate also got a|. The adjusted-earnings estimate also got a twe|The adjusted-earnings estimate also got a tweak|adjusted-earnings estimate also got a tweak.|stock price targets amid post-earnings plungeHowever|price targets amid post-earnings plungeHowever,|targets amid post-earnings plungeHowever, Hum|amid post-earnings plungeHowever, Humana|related to Merck’s acquisition ofHar|related to Merck’s acquisition ofHarpoon|stock price targets amid post-earnings plungeWell|price targets amid post-earnings plungeWell,|targets amid post-earnings plungeWell, just|amid post-earnings plungeWell, just keep|of mythical ideal called ""price stability,"" aligned with",", 2024. It covers the following|the10 best stocksfor investors to buy now…|stocksfor investors to buy now… and Arm Holdings wasn|wasn’t one of them. The 10 stocks|10 stocks that made the cut could produce monster returns|stocks that made the cut could produce monster returns in the|could produce monster returns in the coming years.Consider|produce monster returns in the coming years.Consider when|returns in the coming years.Consider whenNvid|’d have $535,597!*|stock picks each month. TheStock Advisorservice has|picks each month. TheStock Advisorservice hasmore|hasmore than quadrupledthe return of S&P|more than quadrupledthe return of S&P 5|of S&P 500 since 20|500 since 2002*.Story|2002*.Story continuesSee the|002*.Story continuesSee the 10|the 10 stocks »*Stock Advisor returns|10 stocks »*Stock Advisor returns as of"
